id;message;category
1;Bonjour, je veux un remboursement. Mon colis est arrivé cassé.;réclamation
2;Le produit ne s’allume pas, que faire ?;problème technique
3;Est-ce que cette enceinte Bluetooth est compatible avec mon iPhone ?;question produit
4;Merci pour votre service rapide !;autre
5;Je veux changer l’adresse de livraison de ma commande.;réclamation
6;Le chargeur ne fonctionne pas du tout.;problème technique
7;Ce produit est-il en promotion bientôt ?;question produit
8;Juste un mot pour vous dire bravo !;autre
9;Mon colis est en retard depuis 5 jours, c’est inacceptable.;réclamation
10;Quand allez-vous réapprovisionner le casque Sony WH-1000XM5 ?;question produit
11;L’écran du téléphone ne s’allume plus après 2 jours d’utilisation.;problème technique
12;Je souhaite vous retourner l’article.;réclamation
13;Merci pour votre réactivité au téléphone !;autre
14;Ce produit est-il garanti pendant 2 ans ?;question produit
15;Je ne comprends pas comment installer la mise à jour.;problème technique
16;J’ai reçu un article qui ne correspond pas à ma commande.;réclamation
17;Le clavier que j’ai commandé ne s’affiche pas dans mes périphériques.;problème technique
18;Est-ce que ce PC portable a un port HDMI ?;question produit
19;Je vous remercie pour votre professionnalisme.;autre
20;Le colis a été livré à la mauvaise adresse.;réclamation
21;La batterie se vide très rapidement, que faire ?;problème technique
22;Avez-vous une offre étudiante sur ce produit ?;question produit
23;Tout est parfait, merci !;autre
24;Je veux annuler ma commande immédiatement.;réclamation
25;Impossible de connecter la caméra Wi-Fi à mon téléphone.;problème technique
26;Ce téléphone est-il compatible avec la 5G ?;question produit
27;Je vous félicite pour votre efficacité.;autre
28;J’ai été débité deux fois pour la même commande.;réclamation
29;L’imprimante affiche une erreur système dès le démarrage.;problème technique
30;Le robot aspirateur fonctionne-t-il sur moquette ?;question produit
31;Merci pour la livraison express.;autre
32;Le produit reçu ne correspond pas aux photos du site.;réclamation
33;Le câble HDMI ne transmet pas l’image correctement.;problème technique
34;Y a-t-il une réduction pour les abonnés newsletter ?;question produit
35;Service client très aimable, merci.;autre
36;Je n’ai pas reçu la facture de mon achat.;réclamation
37;Mon micro ne capte aucun son.;problème technique
38;Le vidéoprojecteur fonctionne-t-il à la lumière du jour ?;question produit
39;Bonne continuation à toute l’équipe !;autre
40;L’article a été marqué comme livré mais je ne l’ai pas reçu.;réclamation
41;Mon casque Bluetooth se déconnecte sans raison.;problème technique
42;Est-ce que le téléphone est livré avec une coque de protection ?;question produit
43;Merci pour le bon de réduction !;autre
44;Je veux retourner ce produit, il ne me convient pas.;réclamation
45;L’ordinateur freeze dès le démarrage.;problème technique
46;Ce produit est-il étanche ?;question produit
47;Continuez comme ça, bravo !;autre
48;Je veux échanger mon produit contre un autre modèle.;réclamation
49;Le ventilateur ne tourne pas du tout malgré l’alimentation.;problème technique
50;Proposez-vous le paiement en plusieurs fois ?;question produit
51;Ma commande a été annulée sans explication et je n’ai reçu aucun remboursement. Veuillez corriger cela rapidement. ;réclamation
52;Le système affiche une erreur au moment du paiement. J’ai essayé plusieurs cartes bancaires, en vain. ;problème technique
53;Ce produit est-il disponible dans d’autres tailles ou uniquement en version standard ? ;question produit
54;Je souhaite recevoir vos actualités par e-mail. Comment puis-je m’abonner à votre newsletter ? ;autre
55;Je vous écris pour me plaindre de la mauvaise qualité du produit reçu. Ce n’est pas conforme à la description. ;réclamation
56;Depuis la dernière mise à jour, l'application ne fonctionne plus du tout sur mon téléphone Android. J’ai déjà essayé de la réinstaller. ;problème technique
57;Est-ce que ce modèle est compatible avec un MacBook Air de 2020 ? Je ne trouve pas cette information sur votre site. ;question produit
58;Où se trouve votre boutique physique la plus proche de Paris ? J’aimerais vous rendre visite. ;réclamation
59;Bonjour, j’ai reçu un produit défectueux et je demande un remboursement immédiat. Merci de faire le nécessaire dans les plus brefs délais. ;problème technique
60;Le système affiche une erreur au moment du paiement. J’ai essayé plusieurs cartes bancaires, en vain. ;question produit
61;Ce produit contient-il des composants allergènes comme le latex ou les fruits à coque ? ;autre
62;Je suis influenceur et j’aimerais collaborer avec votre marque. À qui dois-je m’adresser ? ;réclamation
63;Le colis est arrivé très en retard et cela a perturbé mon organisation. J’attends un geste commercial de votre part. ;problème technique
64;Le bouton de validation du panier ne réagit pas. J’ai testé sur plusieurs navigateurs sans succès. ;question produit
65;Est-il possible d’avoir un échantillon avant d’acheter le format complet ? ;réclamation
66;Je souhaite recevoir vos actualités par e-mail. Comment puis-je m’abonner à votre newsletter ? ;problème technique
67;Ma commande a été annulée sans explication et je n’ai reçu aucun remboursement. Veuillez corriger cela rapidement. ;question produit
68;Le bouton de validation du panier ne réagit pas. J’ai testé sur plusieurs navigateurs sans succès. ;autre
69;Quelle est la durée exacte de la garantie ? Est-ce une garantie constructeur ou vendeur ? ;réclamation
